reward,return,success
273.88,83.67,1.0
207.27,45.73,1.0
266.9,57.39,1.0
276.21,66.13,1.0
244.36,48.35,1.0
165.05,38.66,0.0
215.66,67.46,1.0
258.34,68.9,1.0
269.9,85.6,1.0
234.26,50.01,1.0
216.86,52.73,1.0
292.23,51.4,1.0
286.61,72.9,1.0
265.74,46.53,1.0
242.38,67.37,1.0
278.32,53.96,1.0
280.79,77.44,1.0
200.84,62.63,1.0
244.51,61.88,1.0
265.49,71.28,1.0
266.01,69.55,1.0
271.33,46.33,1.0
204.51,43.55,1.0
284.66,47.12,1.0
236.63,43.09,1.0
15.19,24.2,0.0
184.65,35.7,0.0
149.54,42.11,0.0
201.26,39.63,1.0
171.42,46.22,0.0
230.59,58.13,1.0
57.05,46.23,0.0
-133.15,22.43,0.0
250.1,58.99,1.0
288.64,24.81,1.0
251.73,61.38,1.0
277.42,86.2,1.0
232.09,40.12,1.0
283.69,28.89,1.0
250.84,64.19,1.0
133.57,49.18,0.0
240.34,57.43,1.0
244.32,50.38,1.0
278.81,91.85,1.0
262.26,66.49,1.0
125.59,46.92,0.0
-240.75,50.84,0.0
232.96,32.64,1.0
276.46,48.68,1.0
234.94,50.11,1.0
96.71,39.25,0.0
258.32,65.7,1.0
258.21,52.27,1.0
285.52,45.41,1.0
266.51,64.55,1.0
-78.31,31.46,0.0
103.03,49.15,0.0
275.24,43.03,1.0
205.32,42.81,1.0
272.67,72.75,1.0
71.18,16.86,0.0
187.41,42.77,0.0
263.13,65.5,1.0
269.06,66.53,1.0
258.11,86.78,1.0
223.83,62.68,1.0
264.49,81.64,1.0
281.75,42.27,1.0
271.34,64.83,1.0
